Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
KatRefuseExperteer,Chrome 64.0.3282.186,,2018-03-08 10:34:08,2018-03-08 10:34:28,"19,877s",ERROR
,,,,,,
Test Cases/Basics/Login,Chrome 64.0.3282.186,"Opens the Browser, logs in to Tapas",2018-03-08 10:34:09,2018-03-08 10:34:17,"8,562s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-08 10:34:09,2018-03-08 10:34:12,"3,325s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-08 10:34:12,2018-03-08 10:34:12,"0,147s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-08 10:34:12,2018-03-08 10:34:13,"0,100s",PASSED
click,Chrome 64.0.3282.186,,2018-03-08 10:34:13,2018-03-08 10:34:17,"4,780s",PASSED
,,,,,,
Test Cases/KatRefuse,Chrome 64.0.3282.186,,2018-03-08 10:34:17,2018-03-08 10:34:18,"0,230s",ERROR
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-08 10:34:17,2018-03-08 10:34:17,"0,002s",PASSED
,,,,,,
Test Cases/Basics/Logout,Chrome 64.0.3282.186,,2018-03-08 10:34:18,2018-03-08 10:34:28,"10,136s",FAILED
click,Chrome 64.0.3282.186,,2018-03-08 10:34:18,2018-03-08 10:34:18,"0,410s",PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(PopUp_LogoutSave/div_QuitWithoutSave), 10))",Chrome 64.0.3282.186,,2018-03-08 10:34:18,2018-03-08 10:34:28,"9,633s",FAILED
